,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
823,Ilia Gruev,22,DM,SV Werder Bremen,Bulgaria,3.00m
824,Ilias Chair,25,AM,Queens Park Rangers,Morocco,10.00m
825,Ilija Nestorovski,32,CF,Udinese Calcio,North Macedonia,600k
826,Ilkay Gündogan,32,CM,Manchester City,Germany,25.00m
827,Illan Meslier,22,GK,Leeds United,France,22.00m
828,In-beom Hwang,26,CM,Olympiacos Piraeus,"Korea, South",3.50m
829,Iñaki Williams,28,CF,Athletic Bilbao,Ghana,25.00m
830,Iñigo Eguaras,30,DM,UD Almería,Spain,1.20m
831,Iñigo Lekue,29,RB,Athletic Bilbao,Spain,3.00m
832,Iñigo Martínez,31,CB,Athletic Bilbao,Spain,18.00m
833,Iñigo Ruiz de Galarreta,29,CM,RCD Mallorca,Spain,2.00m
834,Ionut Radu,25,GK,AJ Auxerre,Romania,3.50m
835,Irvin Cardona,25,CF,FC Augsburg,France,2.50m
836,Isaac Success,27,CF,Udinese Calcio,Nigeria,4.00m
837,Isaak Touré,19,CB,AJ Auxerre,France,5.00m
838,Isak Hien,24,CB,Hellas Verona,Sweden,3.00m
839,Isco,30,AM,Without ClubWithout Club,Spain,9.00m
840,Isi Palazón,28,RW,Rayo Vallecano,Spain,7.50m
841,Ismaël Bennacer,25,DM,AC Milan,Algeria,40.00m
842,Ismaël Boura,22,LB,RC Lens,France,1.20m
843,Ismaël Diallo,26,LB,AC Ajaccio,Cote d'Ivoire,1.50m
844,Ismaël Doukouré,19,CB,RC Strasbourg Alsace,France,2.00m
845,Ismaël Koné,20,CM,Watford FC,Canada,6.00m
846,Ismaïla Sarr,25,RW,Watford FC,Senegal,22.00m
847,Ismaily,33,LB,LOSC Lille,Brazil,3.00m
848,Issa Diop,26,CB,Fulham FC,France,15.00m
849,Issa Kaboré,21,RB,Olympique Marseille,Burkina Faso,5.00m
850,Issahaku Fatawu,18,RW,Sporting CP,Ghana,3.00m
851,Issiaga Sylla,29,LB,Montpellier HSC,Guinea,2.00m
852,Iván Alejo,28,RW,Cádiz CF,Spain,1.20m
853,Iván Balliu,31,RB,Rayo Vallecano,Albania,3.50m
854,Iván Fresneda,18,RB,Real Valladolid CF,Spain,1.00m
855,Ivan Ilic,21,CM,Torino FC,Serbia,13.00m
856,Ivan Ordets,30,CB,VfL Bochum,Ukraine,3.50m
857,Ivan Perisic,34,LM,Tottenham Hotspur,Croatia,10.00m
858,Ivan Provedel,28,GK,SS Lazio,Italy,7.00m
859,Ivan Rakitic,34,CM,Sevilla FC,Croatia,4.00m
860,Iván Sánchez,42,CF,Клуба нет,Spain,-
861,Ivan Sunjic,26,DM,Hertha BSC,Croatia,5.00m
862,Ivan Toney,26,CF,Brentford FC,England,45.00m
863,Ivo Grbic,27,GK,Atlético de Madrid,Croatia,3.50m
864,Iza Carcelén,29,RB,Cádiz CF,Spain,1.50m
865,Jacek Goralski,30,DM,VfL Bochum,Poland,1.00m
866,Jack Grealish,27,LW,Manchester City,England,70.00m
867,Jack Harrison,26,LW,Leeds United,England,25.00m
868,Jack Stacey,26,RB,AFC Bournemouth,England,3.00m
869,Jack Stephens,29,CB,AFC Bournemouth,England,5.00m
870,Jackson Irvine,29,CM,FC St. Pauli,Australia,2.00m
871,Jackson Porozo,22,CB,ESTAC Troyes,Ecuador,3.00m
872,Jacob Bruun Larsen,24,LW,TSG 1899 Hoffenheim,Denmark,4.00m
873,Jacob Murphy,28,RW,Newcastle United,England,10.00m
874,Jacob Ramsey,21,CM,Aston Villa,England,28.00m
875,Jacopo Fazzini,19,CM,FC Empoli,Italy,800k
876,Jadon Sancho,22,LW,Manchester United,England,60.00m
877,Jae-sung Lee,30,AM,1.FSV Mainz 05,"Korea, South",3.00m
878,Jaidon Anthony,23,LW,AFC Bournemouth,England,5.00m
879,Jaime Mata,34,CF,Getafe CF,Spain,2.00m
880,Jaime Seoane,26,CM,Getafe CF,Spain,3.50m
881,Jairo Riedewald,26,DM,Crystal Palace,Netherlands,4.00m
882,Jaka Bijol,24,CB,Udinese Calcio,Slovenia,10.00m
883,Jakub Kaminski,20,LW,VfL Wolfsburg,Poland,10.00m
884,Jakub Kiwior,23,CB,Arsenal FC,Poland,8.00m
885,Jamaal Lascelles,29,CB,Newcastle United,England,7.00m
886,Jamal Musiala,20,AM,Bayern Munich,Germany,100.00m
887,James Garner,21,DM,Everton FC,England,14.00m
888,James Justin,25,RB,Leicester City,England,25.00m
889,James Maddison,26,AM,Leicester City,England,55.00m
890,James Milner,37,CM,Liverpool FC,England,2.00m
891,James Ward-Prowse,28,CM,Southampton FC,England,35.00m
892,Jamie Leweling,22,SS,1.FC Union Berlin,Germany,4.50m
893,Jamie Maclaren,29,CF,Melbourne City FC,Australia,1.80m
894,Jamie Vardy,36,CF,Leicester City,England,4.00m
895,Jan Bednarek,26,CB,Southampton FC,Poland,18.00m
896,Jan Oblak,30,GK,Atlético de Madrid,Slovenia,40.00m
897,Jan Vertonghen,35,CB,RSC Anderlecht,Belgium,1.80m
898,Janik Haberer,28,CM,1.FC Union Berlin,Germany,5.00m
899,Janis Antiste,20,CF,Amiens SC,France,4.00m
900,Janis Blaswich,31,GK,RB Leipzig,Germany,1.00m
901,Jannes Horn,26,LB,1.FC Nuremberg,Germany,1.80m
902,Jarrod Bowen,26,RW,West Ham United,England,42.00m
903,Jasper Cillessen,33,GK,NEC Nijmegen,Netherlands,3.00m
904,Jaume Costa,34,LB,RCD Mallorca,Spain,1.20m
905,Javi Galán,28,LB,Celta de Vigo,Spain,12.00m
906,Javi Hernández,24,LB,Girona FC,Spain,2.50m
907,Javi Sánchez,25,CB,Real Valladolid CF,Spain,3.00m
908,Jawad El Yamiq,30,CB,Real Valladolid CF,Morocco,1.20m
909,Jean Botué,20,LW,AC Ajaccio,Burkina Faso,500k
910,Jean Lucas,24,CM,AS Monaco,Brazil,7.00m
911,Jean Onana,23,DM,RC Lens,Cameroon,5.00m
912,Jean-Charles Castelletto,28,CB,FC Nantes,Cameroon,4.00m
913,Jean-Clair Todibo,23,CB,OGC Nice,France,20.00m
914,Jean-Daniel Akpa Akpro,30,CM,FC Empoli,Cote d'Ivoire,1.40m
915,Jean-Eudes Aholou,28,DM,RC Strasbourg Alsace,Cote d'Ivoire,3.00m
916,Jean-Kévin Duverne,25,CB,Stade Brestois 29,France,4.00m
917,Jean-Paul Boëtius,28,AM,Hertha BSC,Netherlands,3.00m
918,Jean-Philippe Mateta,25,CF,Crystal Palace,France,9.00m
919,Jean-Victor Makengo,24,CM,FC Lorient,France,7.50m
920,Jeff Reine-Adélaïde,25,AM,ESTAC Troyes,France,10.00m
921,Jefferson Lerma,28,DM,AFC Bournemouth,Colombia,15.00m
922,Jeffrey Gouweleeuw,31,CB,FC Augsburg,Netherlands,3.50m
923,Jeffrey Schlupp,30,LM,Crystal Palace,Ghana,8.00m
924,Jeison Murillo,30,CB,UC Sampdoria,Colombia,2.50m
925,Jens Cajuste,23,DM,Stade Reims,Sweden,4.50m
926,Jens Stage,26,CM,SV Werder Bremen,Denmark,3.50m
927,Jerdy Schouten,26,DM,Bologna FC 1909,Netherlands,8.50m
928,Jere Uronen,28,LB,FC Schalke 04,Finland,1.00m
929,Jeremías Ledesma,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена
930,Jérémie Bela,29,LW,Clermont Foot 63,Angola,1.80m
931,Jérémie Boga,26,LW,Atalanta BC,Cote d'Ivoire,15.00m
932,Jeremie Frimpong,22,RB,Bayer 04 Leverkusen,Netherlands,25.00m
933,Jérémy Doku,20,RW,Stade Rennais FC,Belgium,18.00m
934,Jérémy Le Douaron,24,CF,Stade Brestois 29,France,3.00m
935,Jeremy Sarmiento,20,AM,Brighton & Hove Albion,Ecuador,3.00m
936,Jeremy Toljan,28,RB,US Sassuolo,Germany,4.50m
937,Jérôme Boateng,34,CB,Olympique Lyon,Germany,2.00m
938,Jérôme Roussillon,30,LB,1.FC Union Berlin,France,3.00m
939,Jesper Lindström,22,AM,Eintracht Frankfurt,Denmark,28.00m
940,Jesse Lingard,30,AM,Nottingham Forest,England,14.00m
941,Jesús Navas,37,RB,Sevilla FC,Spain,3.00m
942,Jesús Vázquez,20,LB,Valencia CF,Spain,5.00m
943,Jewison Bennette,18,LW,Sunderland AFC,Costa Rica,1.00m
944,Jhon Lucumí,24,CB,Bologna FC 1909,Colombia,9.00m
945,Jim Allevinah,27,RM,Clermont Foot 63,Gabon,2.00m
946,Jimmy Cabot,28,RM,RC Lens,France,4.00m
947,Jin-su Kim,30,LB,Jeonbuk Hyundai Motors,"Korea, South",600k
948,Jiri Pavlenka,30,GK,SV Werder Bremen,Czech Republic,3.00m
949,Joachim Andersen,26,CB,Crystal Palace,Denmark,32.00m
950,Joakim Maehle,25,LB,Atalanta BC,Denmark,14.00m
951,Joan González,21,CM,US Lecce,Spain,3.00m
952,Joan Jordán,28,CM,Sevilla FC,Spain,14.00m
953,João Cancelo,28,RB,Bayern Munich,Portugal,70.00m
954,João Félix,23,SS,Chelsea FC,Portugal,50.00m
955,João Mário,30,AM,SL Benfica,Portugal,12.00m
956,João Mário,30,AM,SL Benfica,Portugal,12.00m
957,João Moutinho,36,CM,Wolverhampton Wanderers,Portugal,2.00m
958,João Palhinha,27,DM,Fulham FC,Portugal,28.00m
959,Joaquín Blázquez,22,GK,Stade Brestois 29,Argentina,500k
960,Joaquín Correa,28,SS,Inter Milan,Argentina,20.00m
961,Joaquín Fernández,29,RW,Sevilla FC,Spain,7.00m
962,Joaquín Sosa,21,CB,Bologna FC 1909,Uruguay,1.20m
963,Joe Allen,32,CM,Swansea City,Wales,1.00m
964,Joe Aribo,26,AM,Southampton FC,Nigeria,15.00m
965,Joe Bryan,29,LB,OGC Nice,England,3.00m
966,Joe Gelhardt,20,CF,Sunderland AFC,England,8.00m
967,Joe Gomez,25,CB,Liverpool FC,England,30.00m
968,Joe Rodon,25,CB,Stade Rennais FC,Wales,9.00m
969,Joe Rothwell,28,CM,AFC Bournemouth,England,3.50m
970,Joe Scally,20,RB,Borussia Mönchengladbach,United States,12.00m
971,Joe Willock,23,CM,Newcastle United,England,30.00m
972,Joe Worrall,26,CB,Nottingham Forest,England,8.00m
973,Joël Veltman,31,RB,Brighton & Hove Albion,Netherlands,10.00m
974,Joel Ward,33,RB,Crystal Palace,England,2.00m
975,Joel Waterman,27,CB,CF Montréal,Canada,2.00m
976,Joelinton,26,AM,Newcastle United,Brazil,32.00m
977,Johan Gastien,35,DM,Clermont Foot 63,France,800k
978,Johan Mojica,30,LB,Villarreal CF,Colombia,5.00m
979,Johan Vásquez,24,CB,US Cremonese,Mexico,3.60m
980,Johan Venegas,34,CF,LD Alajuelense,Costa Rica,300k
981,Johann Lepenant,20,DM,Olympique Lyon,France,10.00m
982,John McGinn,28,CM,Aston Villa,Scotland,30.00m
983,John Stones,28,CB,Manchester City,England,30.00m
984,Jon Karrikaburu,20,CF,CD Leganés,Spain,5.00m
985,Jon Moncayola,24,CM,CA Osasuna,Spain,12.00m
986,Jon Morcillo,24,LW,Athletic Bilbao,Spain,3.00m
987,Jon Pacheco,22,CB,Real Sociedad,Spain,6.00m
988,Jonas Hector,32,LB,1. FC Köln,Germany,3.50m
989,Jonas Hofmann,30,RW,Borussia Mönchengladbach,Germany,13.00m
990,Jonas Martin,32,DM,LOSC Lille,France,1.80m
991,Jonas Omlin,29,GK,Borussia Mönchengladbach,Switzerland,7.00m
992,Jonas Wind,24,CF,VfL Wolfsburg,Denmark,14.00m
993,Jonathan Bamba,26,LW,LOSC Lille,France,20.00m
994,Jonathan Burkardt,22,CF,1.FSV Mainz 05,Germany,15.00m
995,Jonathan Clauss,30,RB,Olympique Marseille,France,15.00m
996,Jonathan David,23,CF,LOSC Lille,Canada,45.00m
997,Jonathan Gradit,30,CB,RC Lens,France,4.50m
998,Jonathan Ikoné,24,RW,ACF Fiorentina,France,16.00m
999,Jonathan Tah,27,CB,Bayer 04 Leverkusen,Germany,20.00m
1000,Jonjo Shelvey,30,CM,Nottingham Forest,England,7.00m
1001,Jonjoe Kenny,25,RB,Hertha BSC,England,4.00m
1002,Jonny Evans,35,CB,Leicester City,Northern Ireland,3.00m
1003,Jonny Otto,28,LB,Wolverhampton Wanderers,Spain,17.00m
1004,Jordan,22,LW,Manchester United,England,60.00m
1005,Jordan Amavi,28,LB,Getafe CF,France,3.00m
1006,Jordan Ayew,31,CF,Crystal Palace,Ghana,6.00m
1007,Jordan Ferri,30,CM,Montpellier HSC,France,5.00m
1008,Jordan Henderson,32,CM,Liverpool FC,England,15.00m
1009,Jordan Lotomba,24,RB,OGC Nice,Switzerland,6.00m
1010,Jordan Pickford,28,GK,Everton FC,England,28.00m
1011,Jordan Veretout,29,DM,Olympique Marseille,France,14.00m
1012,Jordan Zemura,23,LB,AFC Bournemouth,Zimbabwe,4.00m
1013,Jordi Alba,33,LB,FC Barcelona,Spain,5.00m
1014,Jordi Masip,34,GK,Real Valladolid CF,Spain,1.00m
1015,Jordi Osei-Tutu,24,RB,VfL Bochum,England,1.50m
1016,Jörgen Strand Larsen,23,CF,Celta de Vigo,Norway,11.00m
1017,Jorginho,31,DM,Arsenal FC,Italy,35.00m
1018,Joris Chotard,21,DM,Montpellier HSC,France,9.00m
1019,Josan,39,AM,Клуба нет,Moldova,-
1020,José Ángel Carmona,21,RB,Elche CF,Spain,5.00m
1021,José Carlos Lazo,27,LW,RCD Espanyol Barcelona,Spain,2.50m
1022,José Cifuentes,23,CM,Los Angeles FC,Ecuador,12.00m
1023,José Copete,23,CB,RCD Mallorca,Spain,2.00m
1024,José Fonte,39,CB,LOSC Lille,Portugal,700k
1025,José Gayà,27,LB,Valencia CF,Spain,40.00m
1026,José Luis Morales,35,CF,Villarreal CF,Spain,4.00m
1027,José Mari,28,CB,Atlético de Madrid,Uruguay,40.00m
1028,José María Giménez,28,CB,Atlético de Madrid,Uruguay,40.00m
1029,José Pozo,67,RB,Клуба нет,Spain,-
1030,José Sá,93,SW,Клуба нет,Uruguay,-
1031,Joselu,32,CF,RCD Espanyol Barcelona,Spain,6.00m
1032,Joseph Aidoo,27,CB,Celta de Vigo,Ghana,7.00m
1033,Josh Dasilva,24,CM,Brentford FC,England,9.00m
1034,Josh Doig,20,LB,Hellas Verona,Scotland,6.00m
1035,Josh Onomah,25,CM,Preston North End,England,2.50m
1036,Josh Sargent,23,CF,Norwich City,United States,12.00m
1037,Joshua Kimmich,28,DM,Bayern Munich,Germany,80.00m
1038,Joshua Zirkzee,21,CF,Bologna FC 1909,Netherlands,11.00m
1039,Josip Brekalo,24,LW,ACF Fiorentina,Croatia,7.50m
1040,Josko Gvardiol,21,CB,RB Leipzig,Croatia,75.00m
1041,Josuha Guilavogui,32,DM,VfL Wolfsburg,France,3.00m
1042,Juan Bernat,29,LB,Paris Saint-Germain,Spain,12.00m
1043,Juan Cabal,22,CB,Hellas Verona,Colombia,2.50m
1044,Juan Cala,33,CB,Cádiz CF,Spain,800k
1045,Juan Carlos,47,AM,Клуба нет,Spain,-
1046,Juan Cruz,27,CF,CA Sarmiento (Junin),Argentina,275k
1047,Juan Cuadrado,34,RM,Juventus FC,Colombia,5.00m
1048,Juan Iglesias,24,RB,Getafe CF,Spain,3.50m
1049,Juan Jesus,31,CB,SSC Napoli,Brazil,4.00m
1050,Juan José Perea,23,CF,VfB Stuttgart,Colombia,2.40m
1051,Juan Larios,19,LB,Southampton FC,Spain,7.00m
1052,Juan Miranda,23,LB,Real Betis Balompié,Spain,5.00m
1053,Juan Musso,28,GK,Atalanta BC,Argentina,16.00m
1054,Juan Pablo Vargas,27,CB,Millonarios FC,Costa Rica,1.70m
1055,Juanmi Latasa,21,CF,Getafe CF,Spain,1.00m
1056,Jubal,29,CB,AJ Auxerre,Brazil,2.00m
1057,Jude Bellingham,19,CM,Borussia Dortmund,England,110.00m
1058,Jules Koundé,24,CB,FC Barcelona,France,60.00m
1059,Julián Álvarez,23,CF,Manchester City,Argentina,50.00m
1060,Julian Baumgartlinger,35,DM,FC Augsburg,Austria,600k
1061,Julian Brandt,26,AM,Borussia Dortmund,Germany,28.00m
1062,Julian Draxler,29,LW,SL Benfica,Germany,12.00m
1063,Julian Jeanvier,30,CB,AJ Auxerre,Guinea,800k
1064,Julian Ryerson,25,RB,Borussia Dortmund,Norway,7.50m
1065,Julian Weigl,27,DM,Borussia Mönchengladbach,Germany,15.00m
1066,Julien Laporte,29,CB,FC Lorient,France,3.00m
1067,Julien Ponceau,22,AM,FC Lorient,France,2.50m
1068,Julio Enciso,19,SS,Brighton & Hove Albion,Paraguay,11.00m
1069,Jun-ho Son,30,DM,Shandong Taishan,"Korea, South",3.50m
1070,Junior Dina Ebimbe,22,RM,Eintracht Frankfurt,France,7.50m
1071,Junior Firpo,26,LB,Leeds United,Dominican Republic,12.00m
1072,Junior Messias,31,RW,AC Milan,Brazil,6.00m
1073,Junior Sambia,26,RB,US Salernitana 1919,France,3.50m
1074,Junior Stanislas,33,LW,AFC Bournemouth,England,700k
1075,Junya Ito,29,RW,Stade Reims,Japan,9.00m
1076,Jurrien Timber,21,CB,Ajax Amsterdam,Netherlands,45.00m
1077,Justin Kluivert,23,LW,Valencia CF,Netherlands,14.00m
1078,Kai Havertz,23,AM,Chelsea FC,Germany,70.00m
1079,Kaiky,19,CB,UD Almería,Brazil,8.00m
1080,Kalidou Koulibaly,31,CB,Chelsea FC,Senegal,35.00m
1081,Kalvin Phillips,27,DM,Manchester City,England,45.00m
1082,Kamal Sowah,23,RW,Club Brugge KV,Ghana,6.00m
1083,Kamaldeen Sulemana,21,LW,Southampton FC,Ghana,18.00m
1084,Kamil Glik,35,CB,Benevento Calcio,Poland,800k
1085,Kamory Doumbia,20,AM,Stade Reims,Mali,2.50m
1086,Kaoru Mitoma,25,LW,Brighton & Hove Albion,Japan,8.50m
1087,Karamoko Dembélé,20,RW,Stade Brestois 29,England,500k
1088,Karim Adeyemi,21,LW,Borussia Dortmund,Germany,35.00m
1089,Karim Ansarifard,32,CF,Omonia Nicosia,Iran,1.00m
1090,Karim Benzema,35,CF,Real Madrid,France,35.00m
1091,Karim Onisiwo,30,CF,1.FSV Mainz 05,Austria,3.50m
1092,Karl Toko Ekambi,30,LW,Stade Rennais FC,Cameroon,12.00m
1093,Karol Linetty,28,CM,Torino FC,Poland,3.50m
1094,Kasper Dolberg,25,CF,TSG 1899 Hoffenheim,Denmark,12.00m
1095,Kasper Schmeichel,36,GK,OGC Nice,Denmark,2.50m
1096,Keane Lewis-Potter,22,LW,Brentford FC,England,17.00m
1097,Keidi Bare,25,CM,RCD Espanyol Barcelona,Albania,3.50m
1098,Kelechi Iheanacho,26,CF,Leicester City,Nigeria,17.00m
1099,Kellyn Acosta,27,DM,Los Angeles FC,United States,3.00m
1100,Kelvin Amian,25,RB,Spezia Calcio,France,3.50m
1101,Kenan Karaman,28,CF,FC Schalke 04,Turkey,1.40m
1102,Kendall Waston,35,CB,Deportivo Saprissa,Costa Rica,175k
1103,Kenny Tete,27,RB,Fulham FC,Netherlands,7.00m
1104,Kepa Arrizabalaga,28,GK,Chelsea FC,Spain,15.00m
1105,Kerem Demirbay,29,CM,Bayer 04 Leverkusen,Germany,12.00m
1106,Kerim Calhanoglu,20,LB,SV Sandhausen,Germany,800k
1107,Keven Schlotterbeck,25,CB,VfL Bochum,Germany,3.00m
1108,Kevin Agudelo,24,AM,Spezia Calcio,Colombia,3.50m
1109,Kevin Akpoguma,27,CB,TSG 1899 Hoffenheim,Nigeria,5.00m
1110,Kevin Álvarez,24,RB,CF Pachuca,Mexico,6.00m
1111,Kevin Behrens,32,CF,1.FC Union Berlin,Germany,900k
1112,Kevin Bonifazi,26,CB,Bologna FC 1909,Italy,3.30m
1113,Kevin De Bruyne,31,AM,Manchester City,Belgium,80.00m
1114,Kévin Gameiro,35,CF,RC Strasbourg Alsace,France,1.50m
1115,Kevin Kampl,32,CM,RB Leipzig,Slovenia,5.00m
1116,Kévin Keben,19,CB,FC Toulouse,Cameroon,400k
1117,Kevin Lasagna,30,CF,Hellas Verona,Italy,2.50m
1118,Kevin Paredes,19,LM,VfL Wolfsburg,United States,5.00m
1119,Kevin Schade,21,RW,Brentford FC,Germany,12.00m
1120,Kevin Spadanuda,26,LW,AC Ajaccio,Switzerland,800k
1121,Kevin Stöger,29,AM,VfL Bochum,Austria,2.50m
1122,Kevin Trapp,32,GK,Eintracht Frankfurt,Germany,8.50m
1123,Kevin Vogt,31,CB,TSG 1899 Hoffenheim,Germany,3.50m
1124,Kevin Volland,30,CF,AS Monaco,Germany,16.00m
1125,Kevin-Prince Boateng,35,AM,Hertha BSC,Ghana,700k
1126,Keylor Navas,36,GK,Nottingham Forest,Costa Rica,5.00m
1127,Keysher Fuller,28,RB,CS Herediano,Costa Rica,250k
1128,Khalil Fayad,18,CM,Montpellier HSC,France,500k
1129,Khéphren Thuram,21,DM,OGC Nice,France,25.00m
1130,Khvicha Kvaratskhelia,22,LW,SSC Napoli,Georgia,60.00m
1131,Kieffer Moore,30,CF,AFC Bournemouth,Wales,4.00m
1132,Kieran Tierney,25,LB,Arsenal FC,Scotland,30.00m
1133,Kieran Trippier,32,RB,Newcastle United,England,13.00m
1134,Kiernan Dewsbury-Hall,24,CM,Leicester City,England,20.00m
1135,Kike Barja,25,RW,CA Osasuna,Spain,3.00m
1136,Kike García,33,CF,CA Osasuna,Spain,1.80m
1137,Kike Pérez,26,CM,Real Valladolid CF,Spain,4.00m
1138,Kiko Femenía,32,RB,Villarreal CF,Spain,2.50m
1139,Kilian Fischer,22,RB,VfL Wolfsburg,Germany,1.50m
1140,Kiliann Sildillia,20,RB,SC Freiburg,France,9.00m
1141,Kingsley Coman,26,RW,Bayern Munich,France,60.00m
1142,Kingsley Ehizibue,27,RB,Udinese Calcio,Netherlands,1.30m
1143,Kingsley Schindler,29,RB,1. FC Köln,Germany,1.00m
1144,Koen Casteels,30,GK,VfL Wolfsburg,Belgium,8.00m
1145,Koffi Djidji,30,CB,Torino FC,Cote d'Ivoire,3.00m
1146,Koke,31,CM,Atlético de Madrid,Spain,18.00m
1147,Komnen Andric,27,CF,Clermont Foot 63,Serbia,2.00m
1148,Koni De Winter,20,CB,FC Empoli,Belgium,4.00m
1149,Konstantinos Mavropanos,25,CB,VfB Stuttgart,Greece,15.00m
1150,Konstantinos Stafylidis,29,LB,VfL Bochum,Greece,1.80m
1151,Konstantinos Tsimikas,26,LB,Liverpool FC,Greece,18.00m
1152,Koray Günter,28,CB,UC Sampdoria,Germany,4.50m
1153,Kouadio Koné,21,CM,Borussia Mönchengladbach,France,25.00m
1154,Krépin Diatta,24,RW,AS Monaco,Senegal,13.00m
1155,Kristian Pedersen,28,LB,1. FC Köln,Denmark,2.00m
1156,Kristian Thorstvedt,23,AM,US Sassuolo,Norway,8.50m
1157,Kristijan Bistrovic,24,CM,Fortuna Sittard,Croatia,2.20m
1158,Kristijan Jakic,25,DM,Eintracht Frankfurt,Croatia,9.00m
1159,Kristjan Asllani,20,DM,Inter Milan,Albania,12.00m
1160,Kristoffer Ajer,24,CB,Brentford FC,Norway,16.00m
1161,Kristoffer Askildsen,22,CM,US Lecce,Norway,2.00m
1162,Krzysztof Piatek,27,CF,US Salernitana 1919,Poland,11.00m
1163,Kurt Zouma,28,CB,West Ham United,France,32.00m
1164,Kyle Walker,32,RB,Manchester City,England,15.00m
1165,Kylian Mbappé,24,CF,Paris Saint-Germain,France,180.00m
1166,Kyung-won Kwon,31,CB,Gamba Osaka,"Korea, South",800k
1167,Lameck Banda,22,LW,US Lecce,Zambia,3.00m
1168,Largie Ramazani,21,LW,UD Almería,Belgium,9.00m
1169,Lars Stindl,34,AM,Borussia Mönchengladbach,Germany,2.50m
1170,Lassana Coulibaly,26,CM,US Salernitana 1919,Mali,4.00m
1171,Lassine Sinayoko,23,RW,AJ Auxerre,Mali,1.20m
1172,Laurent Abergel,30,DM,FC Lorient,France,3.00m
1173,Lautaro Martínez,25,CF,Inter Milan,Argentina,75.00m
1174,Lazar Samardzic,21,AM,Udinese Calcio,Serbia,4.50m
1175,Lázaro,28,CF,Udinese Calcio,Spain,16.00m
1176,Leander Dendoncker,27,DM,Aston Villa,Belgium,22.00m
1177,Leandro Barreiro,23,CM,1.FSV Mainz 05,Luxembourg,8.00m
1178,Leandro Cabrera,31,CB,RCD Espanyol Barcelona,Uruguay,3.50m
1179,Leandro Paredes,28,DM,Juventus FC,Argentina,15.00m
1180,Leandro Sanca,23,RW,FC Famalicão,Portugal,400k
1181,Leandro Trossard,28,LW,Arsenal FC,Belgium,30.00m
1182,Lebo Mothiba,27,CF,RC Strasbourg Alsace,South Africa,1.50m
1183,Lee Buchanan,21,LB,SV Werder Bremen,England,3.50m
1184,Léo Baptistão,30,SS,UD Almería,Brazil,1.80m
1185,Leo Greiml,21,CB,FC Schalke 04,Austria,2.50m
1186,Léo Leroy,23,CM,Montpellier HSC,France,1.20m
1187,Leo Östigard,23,CB,SSC Napoli,Norway,7.00m
1188,Leon Bailey,25,LW,Aston Villa,Jamaica,25.00m
1189,Leon Goretzka,28,CM,Bayern Munich,Germany,65.00m
1190,Leonardo Balerdi,24,CB,Olympique Marseille,Argentina,10.00m
1191,Leonardo Bittencourt,29,AM,SV Werder Bremen,Germany,3.50m
1192,Leonardo Bonucci,35,CB,Juventus FC,Italy,4.00m
1193,Leonardo Sernicola,25,RB,US Cremonese,Italy,1.90m
1194,Leonardo Spinazzola,29,LB,AS Roma,Italy,15.00m
1195,Leroy Sané,27,RW,Bayern Munich,Germany,70.00m
1196,Lesley Ugochukwu,18,DM,Stade Rennais FC,France,4.00m
1197,Lev Yashin,-,GK,------,Russia,-
1198,Lewis Cook,26,CM,AFC Bournemouth,England,10.00m
1199,Lewis Dunk,31,CB,Brighton & Hove Albion,England,18.00m
1200,Lewis Ferguson,23,CM,Bologna FC 1909,Scotland,4.00m
1201,Lewis O'Brien,24,CM,Nottingham Forest,England,8.00m
1202,Liam Cooper,31,CB,Leeds United,Scotland,5.00m
1203,Liam Henderson,26,CM,FC Empoli,Scotland,3.00m
1204,Liberato Cacace,22,LB,FC Empoli,New Zealand,2.50m
1205,Lilian Brassier,23,CB,Stade Brestois 29,France,4.00m
1206,Lilian Egloff,20,AM,VfB Stuttgart,Germany,1.50m
1207,Linton Maina,23,RW,1. FC Köln,Germany,3.50m
1208,Lionel Messi,35,RW,Paris Saint-Germain,Argentina,50.00m
1209,Lisandro Martínez,25,CB,Manchester United,Argentina,50.00m
1210,Lohann Doucet,20,DM,FC Nantes,France,800k
1211,Loïs Openda,23,CF,RC Lens,Belgium,12.00m
1212,Lorenz Assignon,22,RB,Stade Rennais FC,France,4.00m
1213,Lorenzo Colombo,20,CF,US Lecce,Italy,3.50m
1214,Lorenzo De Silvestri,34,RB,Bologna FC 1909,Italy,900k
1215,Lorenzo Montipò,27,GK,Hellas Verona,Italy,4.00m
1216,Lorenzo Pellegrini,26,AM,AS Roma,Italy,45.00m
1217,Lorenzo Pirola,21,CB,US Salernitana 1919,Italy,2.50m
1218,Lorenzo Venuti,27,RB,ACF Fiorentina,Italy,2.50m
1219,Lovro Majer,25,AM,Stade Rennais FC,Croatia,22.00m
1220,Luca Caldirola,32,CB,AC Monza,Italy,1.00m
1221,Luca D'Andrea,18,RW,US Sassuolo,Italy,2.50m
1222,Luca de la Torre,24,CM,Celta de Vigo,United States,2.00m
1223,Luca Kilian,23,CB,1. FC Köln,Germany,4.50m
1224,Luca Netz,19,LB,Borussia Mönchengladbach,Germany,6.50m
1225,Luca Pellegrini,23,LB,SS Lazio,Italy,9.00m
1226,Luca Pfeiffer,26,CF,VfB Stuttgart,Germany,2.80m
